,name,header,image,bio
361,William Jennys,William Jennys,/wiki/File:Question_book-new.svg,"['William Jennys (1774–1859), also known as J. William Jennys, was an American primitive portrait painter who was active from about 1790 to 1810.  He traveled throughout New England seeking commissions in rural areas and small towns.\n']"
362,Reynolds Beal,Reynolds Beal,/wiki/File:Echo_Bay_New_Rochelle_NY_1914.jpg,"['Reynolds Beal (October 11, 1866 – December 18, 1951) was an American Impressionist and Modernist artist.[1]\n']"
363,James Green,James Green,/wiki/File:Disambig_gray.svg,"['James, Jim, or Jimmy Green may refer to:\n']"
364,Howard Cushing,Howard Cushing,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
365,Louis Kronberg,Louis Kronberg,/wiki/File:Louis_Kronberg.jpg,"['Louis Kronberg (1872–1965) was an American figure painter, art dealer, advisor, and teacher. Among his best-known works are Behind the Footlights (Pennsylvania Academy, Philadelphia) and The Pink Sash (Metropolitan Museum, New York).\n']"
366,Susan Macdowell Eakins,Susan Macdowell Eakins,/wiki/File:The_Artist%27s_Wife_and_His_Setter_Dog.jpg,"['Susan Hannah Macdowell Eakins (September 21, 1851 – December 27, 1938) was an American painter and photographer. Her works were first shown at the Pennsylvania Academy of Fine Arts, where she was a student. She won the Mary Smith Prize there in 1879 and Charles Toppan prize in 1882. One of her teachers was artist Thomas Eakins, who later became her husband. She made portrait and still life paintings. She was also known of her photography. After her husband died in 1916, Eakins became a prolific painter. Her works were exhibited in group exhibitions in her lifetime, but her first solo exhibition was held after she died.\n']"
367,Lilly Martin Spencer,Lilly Martin Spencer,/wiki/File:Lilly_Martin_Spencer.jpg,"['Lilly Martin Spencer (born Angelique Marie Martin) (November 26, 1822 – May 22, 1902) was one of the most popular and widely reproduced American female genre painters in the mid-nineteenth century. She primarily painted domestic scenes, paintings of women and children in a warm happy atmosphere, although over the course of her career she would also come to paint works of varying style and subject matter, including the portraits of famous individuals such as suffragist Elizabeth Cady Stanton. Although she did have an audience for her work, Spencer had difficulties earning a living as a professional painter and faced financial trouble for much of her adult life.\n']"
368,Carducius Plantagenet Ream,C. P. Ream,/wiki/File:CPReam.png,"['Cadurcis Plantagenet Ream, also referred to as Carducius Plantagenet Ream (May 8 1838, Sugar Grove, Ohio - 20 June 1917, Chicago) was an American still-life painter who specialized in fruit. The currently available art gallery and biographical sources are almost evenly divided as to what his actual first name was. Some give both.\n']"
369,Angelica Kauffmann,Angelica Kauffman,/wiki/File:Angelica_Kauffmann_by_Angelica_Kauffmann.jpg,"['Maria Anna Angelika Kauffmann RA (30 October 1741 – 5 November 1807), usually known in English as Angelica Kauffman,[a] was a Swiss Neoclassical painter who had a successful career in London and Rome. Remembered primarily as a history painter, Kauffmann was a skilled portraitist, landscape and decoration painter. She was one of the two female founding members of the Royal Academy in London in 1768.[2][3]\n']"
370,Henry Ossawa Tanner,Henry Ossawa Tanner,/wiki/File:Henry_Ossawa_Tanner.jpg,"[""Henry Ossawa Tanner (June 21, 1859 – May 25, 1937) was an American artist and the first African-American painter to gain international acclaim.[1] Tanner moved to Paris, France, in 1891 to study, and continued to live there after being accepted in French artistic circles.[2] His painting entitled Daniel in the Lions' Den was accepted into the 1896 Salon,[3] the official art exhibition of the Académie des Beaux-Arts in Paris.\n"", 'Archives of American Art\n']"
371,Kilburn,Kilburn,/wiki/File:Disambig_gray.svg,['Kilburn may refer to:\n']
372,Albertis del Orient Browere,Albertis del Orient Browere,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
373,George W. Jr. Twibill,George W. Jr. Twibill,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
374,Aaron Draper Shattuck,Aaron Draper Shattuck,/wiki/File:-Aaron_Draper_Shattuck-_MET_DP-386-299.jpg,"['Aaron Draper Shattuck (March 9, 1832 – July 30, 1928)[1] was an American painter of the White Mountain School. He was born in Francestown, New Hampshire. A second-generation artist affiliated with the Hudson River School, Shattuck differed from most of his contemporaries in that he never studied abroad, and appears to have spent his entire life in New England.[2]\n']"
375,Ellen Emmet Rand,Ellen Emmet Rand,/wiki/File:Ellen_Emmet_Rand_Self-Portrait_1927.jpg,"[""Ellen Emmet Rand (also Ellen (Bay) Gertrude Emmet (Rand); March 4, 1875 – December 18, 1941) was a painter and illustrator. She specialized in portraits, painting over 500 works during her career including portraits of President Franklin D. Roosevelt, artist Augustus Saint-Gaudens, and her cousins Henry James and William James. Rand studied at the Cowles Art School in Boston and the Art Students League in New York City and produced illustrations for Vogue Magazine and Harper's Weekly before traveling to England and then France to study with sculptor Frederick William MacMonnies. The William Benton Museum of Art at the University of Connecticut owns the largest collection of her painted works and the Archives & Special Collections at the Thomas J. Dodd Research Center at the University of Connecticut and the Archives of American Art within the Smithsonian Institution both have collections of her papers, photographs, and drawings.\n""]"
376,Guy C. Wiggins,Guy C. Wiggins,/wiki/File:Guy_C._Wiggins.jpg,"[""Guy Carleton Wiggins NA (February 23, 1883 – April 25, 1962) was an American impressionist painter. He was the president of the Connecticut Academy of Fine Arts, and a member of the Old Lyme Art Colony. He did many paintings of New York City's snowy streets, landmarks and towering skyscrapers during winter.\n""]"
377,Robert Spencer,Robert Spencer,/wiki/File:Disambig_gray.svg,['Robert Spencer may refer to:\n']
378,Robert Henri,Robert Henri,/wiki/File:Robert_Henri_1897.jpg,"['Robert Henri (/ˈhɛnraɪ/; June 24, 1865 – July 12, 1929) was an American painter and teacher. He was a leading figure of the Ashcan School of American realism and an organizer of the group known as ""The Eight,"" a loose association of artists who protested the restrictive exhibition practices of the powerful, conservative National Academy of Design.\n']"
379,Hayley Lever,Hayley Lever,/wiki/File:HLever.jpg,"['Richard Hayley Lever (28 September 1875 – 6 December 1958) was an Australian-American painter, etcher, lecturer and art teacher.\n']"
380,William James Glackens,William Glackens,/wiki/File:William_Glackens_AAA_munswilp_8770.jpg,"['William James Glackens (March 13, 1870 – May 22, 1938) was an American realist painter and one of the founders of the Ashcan School of American art.  He is also known for his work in helping Albert C. Barnes to acquire the European paintings that form the nucleus of the famed Barnes Foundation in Philadelphia.[1]  His dark-hued, vibrantly painted street scenes and depictions of daily life in pre-WW I New York and Paris first established his reputation as a major artist. His later work was brighter in tone and showed the strong influence of Renoir. During much of his career as a painter, Glackens also worked as an illustrator for newspapers and magazines in Philadelphia and New York City.\n']"
381,Miriam Washburn,Miriam Washburn,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
382,Louis Michel Eilshemius,Louis Eilshemius,/wiki/File:Louis_Eilshemius.jpg,"['Louis Michel Eilshemius (February 4, 1864 – December 29, 1941) was an American painter, primarily of landscapes and nudes. Although he was academically trained, much of his work has the unselfconscious character of naive art.\n']"
383,Jane Peterson,Jane Peterson,/wiki/File:Photo_of_Jane_Peterson_at_her_easel_1928.jpg,"['Jane Peterson (1876–1965) was a graduate of Pratt Institute and an American Impressionist and Expressionist painter. Her works are created in Impressionist and Expressionist styles using broad swaths of vibrant colors to combine an interest in light and in depiction of spontaneous moments and are well known for vivid, rich painted still life, beach scenes along the Massachusetts coast.[1] Her works are housed in museums such as the Metropolitan Museum of Art, the Museum of the City of New York, the National Museum of Women in the Arts and Hirshhorn Museum in Washington D.C, and Pennsylvania Academy of Fine Arts and Philadelphia Museum of Arts in Philadelphia, Pennsylvania.\n']"
384,Everett Shinn,Everett Shinn,/wiki/File:Shinn_self_portrait_1901.jpg,"['Everett Shinn (November 6, 1876 – May 1, 1953) was an American realist painter and member of the Ashcan School.  He also exhibited with the short-lived group known as ""The Eight,"" who protested the restrictive exhibition policies of the powerful, conservative National Academy of Design.  He is best known for his robust paintings of urban life in New York and London, a hallmark of Ashcan art, and for his theater and residential murals and interior-design projects. His style varied considerably over the years, from gritty and realistic to decorative and rococo.\n']"
385,George Luks,George Luks,/wiki/File:George_Luks_I.jpg,"['George Benjamin Luks (August 13, 1867 – October 29, 1933) was an American realist artist, painter, comics artist and illustrator. His vigorously painted genre paintings of urban subjects are examples of the Ashcan School of American art.\n']"
386,John Sloan,John Sloan,/wiki/File:John_French_Sloan.jpg,"['John French Sloan (August 2, 1871 – September 7, 1951) was an American painter and etcher.  He is considered to be one of the founders of the Ashcan school of American art. He was also a member of the group known as The Eight. He is best known for his urban genre scenes and ability to capture the essence of neighborhood life in New York City, often observed through his Chelsea studio window. Sloan has been called ""the premier artist of the Ashcan School who painted the inexhaustible energy and life of New York City during the first decades of the twentieth century""[1] and an ""early twentieth-century realist painter who embraced the principles of Socialism and placed his artistic talents at the service of those beliefs.""[2]\n']"
387,Lilian Westcott Hale,Lilian Westcott Hale,"/wiki/File:Seal_of_Dedham,_Massachusetts.jpg",[]
388,John Christen Johansen,John Christen Johansen,"/wiki/File:Signing_of_the_Treaty_of_Versailles,_by_John_Christen_Johansen.jpg","['John Christen Johansen (November 25, 1876 – May 23, 1964) was a Danish-American portraitist, born in Copenhagen and died in New Canaan, Connecticut.\n']"
389,Daniel Garber,Daniel Garber,/wiki/File:Daniel_Garber.jpg,"['Daniel Garber (April 11, 1880 – July 5, 1958) was an American Impressionist landscape painter and member of the art colony at New Hope, Pennsylvania. He is best known today for his large impressionist scenes of the New Hope area, in which he often depicted the Delaware River. He also painted figurative interior works and excelled at etching. In addition to his painting career, Garber taught art at the Pennsylvania Academy of the Fine Arts for over forty years.\n']"
390,Eugene Higgins,Eugene Higgins,/wiki/File:Obverse_of_the_series_2009_$100_Federal_Reserve_Note.jpg,"['Eugene Higgins (1860 – 1948) was the rich heir to a carpet-making business, known as a bon viveur, sportsman, and philanthropist.  A bachelor, when he died in 1948, his estate went to establish the Higgins Trust, at that time, the eleventh largest of its kind in the USA.[1]\n']"
391,George Elmer Browne,George Elmer Browne,/wiki/File:GeorgeElmerbrowneArtist.jpg,['George Elmer Browne (1871–1946) was an American artist known in France and Massachusetts.\n']
392,Adelaide Milton de Groot,Adelaide Milton de Groot,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
393,Clayton S. Price,Clayton S. Price,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
394,Anna Mary Robertson Moses,Grandma Moses,/wiki/File:Grandma_Moses_NYWTS.jpg,"[""Anna Mary Robertson Moses (September 7, 1860 – December 13, 1961), known by her nickname Grandma Moses, was an American folk artist. She began painting in earnest at the age of 78 and is often cited as an example of an individual who successfully began a career in the arts at an advanced age. Her works have been shown and sold in the United States and abroad and have been marketed on greeting cards and other merchandise. Moses' paintings are displayed in the collections of many museums. Sugaring Off was sold for US$1.2 million in 2006.\n""]"
395,Boardman Robinson,Boardman Robinson,/wiki/File:Question_book-new.svg,"['Boardman Michael Robinson (1876–1952) was a Canadian-American painter, illustrator and cartoonist.\n']"
396,Lydia Field Emmet,Lydia Field Emmet,/wiki/File:LFEmmet.jpg,"['Lydia Field Emmet (January 23, 1866 - August 16, 1952) was an American artist best known for her work as a portraitist. She studied with, among others, prominent artists such as William Merritt Chase, Harry Siddons Mowbray, Kenyon Cox and Tony Robert-Fleury.[1] Emmet exhibited widely during her career, and her paintings can now be found hanging in the White House, and many prestigious art galleries, including the Metropolitan Museum of Art.[1][2]\n']"
397,James Preston,James Preston,/wiki/File:Disambig_gray.svg,['James Preston may refer to:\n']
398,John Kane,John Kane,/wiki/File:Disambig_gray.svg,['John Kane may refer to:\n']
399,Demah Prince Barnes,Demah Prince Barnes,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
400,Lockwood de Forest,Lockwood de Forest,/wiki/File:Lockwood_de_Forest_AAA_defolock_11296.jpg,"['Lockwood de Forest (June 8, 1850 – April 3, 1932) was an American painter, interior designer and furniture designer. A key figure in the Aesthetic Movement, he introduced the East Indian craft revival to Gilded Age America.\n', 'Notes\n', 'Further reading\n']"
401,Catherine Wiley,Catherine Wiley,/wiki/File:Catherine-wiley-self-portrait.jpg,"['Anna Catherine Wiley (January 18, 1879 – May 16, 1958) was an American artist active primarily in the early twentieth century.  After training with the Art Students League of New York and receiving instruction from artists such as Lloyd Branson and Frank DuMond, Wiley painted a series of impressionist works that won numerous awards at expositions across the Southern United States, and have since been displayed in museums such as the Metropolitan Museum of Art and the Morris Museum of Art.  In 1926, Wiley was institutionalized after suffering a mental breakdown, and never painted again.[2]\n']"
402,Agostino Brunias,Agostino Brunias,"/wiki/File:Agostino_Brunias_-_Linen_Market,_Dominica_-_Google_Art_Project.jpg","['Agostino Brunias (c. 1730 – April 2, 1796) was a London-based Italian painter from Rome. Strongly associated with West Indian art, he left England at the height of his career to chronicle Dominica and the neighboring islands of the West Indies. Painted in the tradition of vérité ethnographique, his art was as escapist as it was romantic.\n']"
403,Charles M. Russell,Charles Marion Russell,/wiki/File:Charles_Marion_Russell.jpg,"['Charles Marion Russell (March 19, 1864 – October 24, 1926),[1][2] also known as C. M. Russell, Charlie Russell, and ""Kid"" Russell, was an American artist of the Old American West. Russell created more than 2,000 paintings of cowboys, Indians, and landscapes set in the Western United States and in Alberta, Canada, in addition to bronze sculptures. Known as \'the cowboy artist\',[3] Russell was also a storyteller and author. He became an advocate for Native Americans in the West, for instance supporting the bid by landless Chippewa to have a reservation established for them in Montana. In 1916 Congress passed legislation to create such a reservation, now known as the Rocky Boy Reservation.\n']"
404,Karl Anderson,Karl Anderson,/wiki/File:Karl_Anderson_2016.JPG,"['Chad Allegra (born January 18, 1980) is an American professional wrestler. He is currently signed to WWE, where he competes on the Raw brand under the ring name Karl Anderson as part of the The O.C.\n']"
405,British Painter,British Painter,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
406,Shaw Stephen William,Shaw Stephen William,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
407,Unidentified Artist,Unidentified Artist,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
408,Guan Liang,Guan Liang,unfound,"['Guan Liang (Chinese: 关良; 1900–1986), courtesy name Lianggong (良公), was a Chinese painter. He was an important representative of the first generation of oil painters in China and was known for blending Western and Chinese art styles.[1][2][3]\n']"
409,Sōami,Sōami,"/wiki/File:%27Squirrel_on_a_Bamboo_Stalk%27,_bearing_the_signature_and_seal_of_S%C3%B4ami,_Honolulu_Academy_of_Arts.jpg","['Sōami (相阿弥, died 1525) was a Japanese painter and landscape artist. \n']"
410,Xu Gu,Xu Gu,/wiki/File:Pine_Tree_and_Crane_by_Xu_Gu.jpg,"['Xū Gǔ (Hsü Ku, traditional: 虛谷, simplified: 虚谷); ca. (1824–1896) was a Chinese painter and poet during the Qing Dynasty (1644–1912).\n']"
411,Wu Changshuo,Wu Changshuo,/wiki/File:Peonies_and_Daffodils_by_Wu_Changshuo.jpg,"['Wu Changshi (September 12, 1844 – November 29, 1927, also romanised as Wu Changshuo), born Wu Junqing, was a prominent painter, calligrapher and seal artist of the late Qing Period.\n']"
412,Fan Zeng,Fan Zeng,/wiki/File:%E8%8C%83%E5%A2%9E%E5%83%8F.jpg,"['Fan Zeng (277–204 BC) was an adviser to the warlord Xiang Yu, who fought for supremacy with Liu Bang (Emperor Gao), the founder of the Han dynasty, during the Chu–Han Contention (206–202 BC).\n']"
413,Miki Suizan,Miki Suizan,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
414,Salvador Dalí,Salvador Dalí,/wiki/File:Salvador_Dal%C3%AD_1939.jpg,"['Salvador Domingo Felipe Jacinto Dalí i Domènech, Marquis of Dalí de Púbol (/ˈdɑːli, dɑːˈliː/,[1][2] Catalan:\xa0[səlβəˈðo ðəˈli], Spanish:\xa0[salβaˈðoɾ ðaˈli]; 11 May 1904\xa0– 23 January 1989) was a Spanish Surrealist artist, of Catalan ethnicity, born in Figueres, Catalonia, Spain.\n']"
415,Giovanni da Udine,Giovanni da Udine,/wiki/File:Le_Vite_-_Giovanni_da_Udine.jpg,"[""Giovanni Nanni, also Giovanni de' Ricamatori, better known as Giovanni da Udine (1487–1564), was an Italian painter and architect born in Udine. A painter also named Giovanni da Udine was exiled from his native city in 1472.[1]\n""]"
416,French Painter,List of people and animals from Thomas & Friends,/wiki/File:Question_book-new.svg,"['Sir Topham Hatt (also known as The Fat Controller) is in charge of all the engines of the North Western Railway on the island of Sodor.[1] He is nostalgic, and the way he runs his railway recalls the better elements of the days of steam. He sometimes works on the steam engines himself,[2] and as a young man he drove a steam-powered lorry named Elizabeth.[3] Sir Topham Hatt has great influence on the island.[citation needed] Perceptive and shrewd, he has used elaborate schemes to get to the bottom of a problem.[4][5] He is also firm but fair, and often acts as a father-figure to the railway engines - when an engine is upset he speaks to them kindly, and he treats all his engines equally. When an engine misbehaves, he is willing to allow them a second chance if they are truly sorry.[citation needed]\n', 'Lady Hatt is married to Sir Topham Hatt. She occasionally helps her husband with railway business, and the engines sometimes go to lengths to help throw parties for her birthday.[citation needed] She likes the railway, but had a certain dislike for Annie and Clarabel until they were cleaned and repainted. Although her husband runs a railway, she likes a day out on a boat or in their car.[6] From seasons 1 to 5, Lady Hatt had long, curly, red hair. In appearances since, she has short, straighter brown hair.[citation needed]\n', ""Stephen Hatt and Bridget Hatt live on Sodor and regularly spend holidays with their grandparents, Sir Topham Hatt and Lady Hatt. They spent a long holiday on Toby's old line. Stephen Hatt was excited when he first met Toby, but Bridget Hatt accidentally offended him by assuming he was an electric tram.[7] Some time later, after Toby came to Sir Topham Hatt’s railway, the family traveled with Toby to an old castle and mine on a map the children found.[8] The books give the children's full names as Stephen Topham Hatt and Bridget Amanda Hatt. Stephen Hatt ultimately became Sir Topham Hatt, like his father and grandfather. In the television series, the two have rarely aged.[citation needed]\n"", 'Farmer Finney is the driver of Terence the Tractor. He owns a battery farm near Hackenbeck. His name was revealed in the 1996 annual story ""James Gets Cracking."" He first speaks in the season 21 episode ""Terence Breaks the Ice."" His CGI model is retooled from the stout member of the Sodor Brass Band.[citation needed]\n', ""Mrs. Kyndley is an elderly lady who lives near Thomas' branch line. While she was bedridden, an avalanche blocked the railway line by her house. By hanging a bright red dress from her window, she successfully stopped Thomas' train before it crashed. As a token of gratitude, Sir Topham Hatt paid for Mrs Kyndley to visit Bournemouth to get better. Years later, the other engines, hearing Thomas' story, wished to express thanks to Mrs Kyndley for helping the railway, and threw her a Christmas party at Tidmouth Sheds.[9] Percy's crew helped to gather a good luck package for her daughter's wedding: Old Slowcoach (something old), a new set of buffers (something new), a flatbed (something borrowed), and Thomas (something blue).[10] Once when her sister was unable to make a visit, Sir Topham Hatt went to great lengths to cheer Mrs. Kyndley up. She had a ride with Harold the Helicopter, then was taken by James to open the grounds at Harry Topper's Fair.[11]\n"", 'Jem Cole is Trevor\'s driver, and helped save him from scrap when Edward found him.[12] Jem Cole also does other mechanical work on Sodor, also restoring Elizabeth[3] and the Refreshment Lady\'s Teashop.[13] Jem Cole has a love for old vehicles, and was a member of the party that went to rescue a lost engine called Duke.[14] He was one of Rheneas\' passengers in a famous night that saved the narrow gauge railway.[15] His goat once caused delay for Percy, but ended up saving Maithwaite Station from a group of vandals.[16] Jem\'s last mention by name was in season 7, in which he wore a suit and a derby, unlike his original, utilitarian look. He wasn\'t named again until season 20\'s ""Three Steam Engines Gruff"".[citation needed]\n', ""The Reverend is a vicar who lives at the Vicarage near Edward's branch line. When Trevor the Traction Engine was facing scrap, Edward and his crew pleaded to The Vicar for help. After a demonstration, The Vicar was able to purchase Trevor for an agreeable price, and gave him a new home at the Vicarage orchard.[12] The Vicar regularly holds Sunday School outings,[17] fetes, and garden parties.[18][19] He often employs Jem Cole and Trevor to give rides at such holidays.[18] He keeps bees in the orchard and gives some of the honey to his friends. One time their hive broke while en route, and became a nuisance to James and his crew until they could return them to the orchard.[20] The Vicar dresses in black with a wide-brim hat. In The Railway Series, the character of The Vicar appears in the books Edward the Blue Engine and Thomas and the Twins.[citation needed]\n"", 'Farmer Trotter is the owner of a pig farm. He also has sheep and bees. Farmer Trotter is good friends with Farmer McColl. He was one of the men that found Duke in series 4. His first speaking role was in series 7. Farmer Trotter has appeared in season 3 through 8, 10 through 14, 16 and 19. He was also mentioned in series 15 and 21, and has cameos in some films.[citation needed]\n', 'The Refreshment Lady sells tea and other refreshments to passengers on the Narrow-Gauge Railway. She owns a shop at the bay called ""Neptune\'s Refreshments."" She was almost left behind once when Peter Sam rushed to the junction. She was angry at first, but forgiving when she learned that Henry had goaded him into rushing.[21] Later, Peter Sam helped the Refreshment Lady to set up a new, mobile shop by restoring an old, disused coach.[13]\n', 'Dowager Hatt is Sir Topham Hatt\'s mother, Lady Hatt\'s mother-in-law and Stephen and Bridget\'s great-grandmother, who had visited Sodor many times.[22][23] On one visit, after a string of technical problems on the railway, her Dalmatian became frightened and ran away, spending a work day inside Thomas\' cab. She decides after the incident to call him ""Gremlin,"" for all the errors that had happened that day.[22] Since season 13, Dowager Hatt appears to live on Sodor. She was first seen in season 5, and has appeared in most seasons of the series ever since. She also appeared in Day of the Diesels and cameoed in Sodor\'s Legend of the Lost Treasure and The Great Race. A portrait of her appeared in The Adventure Begins.[citation needed]\n', 'Miss Jenny Packard is the owner of a construction business known as Packard & Co., or the Sodor Construction Company. She often works closely with the railways and her machines, ""The Pack,"" are friendly towards the railway.[24][25] She has red hair and has a Land Rover.[citation needed]\n', 'Cyril is a Fogman who lives on Sodor in an old cottage in Misty Valley. When there is fog about, he puts detonators on the tracks to warn the engines about the fog. One time he was replaced by a Foghorn, but saved the day when the foghorn caused a landslide, and made Thomas crash. Cyril was soon given the job back. He is the second fogman named in the TV series, after Old Bailey from series 5.[citation needed]\n', ""Farmer McColl lives and works on a farm in the countryside with many animals, including cows, chickens, sheep and pigs. Sometimes when there's bad weather on the island, he needs help from engines to keep his animals safe and healthy. Engines like Toby the Tram Engine,[26] Emily[27] and Trevor the Traction Engine have all helped Farmer McColl in some way for his animals. Once, Thomas the Tank Engine left a group of schoolchildren at his farm, and they spent the day learning about the animals.[28] Farmer McColl was introduced in season 6.\n"", 'Alicia Botti is a famous opera singer (a coloratura). Thomas is chosen to take her to perform at a concert. However, after finding a mouse inside Clarabel, she refuses to travel in the coach. She instead chooses Percy.[29] Posters of her concerts are seen throughout the show.[citation needed]\n', ""The Duke and Duchess of Boxford semi-regularly visit Sodor, and have their own private engine Spencer, whom on his first visit to Sodor, boasted to Gordon but then ran out of water on Gordon's Hill. The Duke and Duchess later bought a holiday home on the Island, and had Edward the Blue Engine take their furniture wagon, who beat Spencer to the house. The Duke and Duchess visit quite regularly to see the railway.[citation needed]\n"", 'Lord Callan is the Scottish-born lord (and owner) of Callan Castle and nearby surrounding land. He first appeared in season 7.[citation needed]\n', 'Mr Peregrine Percival, The Thin Controller, is the head of the Skarloey Railway in the show. He is often found on his bike. He wears glasses and a bowler hat. In the US version, he is sometimes referred to as the Narrow-Gauge Controller. Mr Percival was introduced in season 9. In Season 10 he is featured with his unnamed wife.[citation needed]\n', 'The Mayor of Sodor was first mentioned in seasons 7 and 8, before making his first appearance in season 11.[citation needed]\n', 'Mr. Bubbles is a clown famous for blowing very big bubbles and performing with very large balloons. The hat he wears during performances looks like a funnel Thomas once had to wear.[citation needed]\n', 'The Dock Manager is in charge of Brendam Docks. Another dock manager has appeared in the series prior to season 13. He appeared in season 6, 7, 8, 9, 11 and 12. \n', 'Sir Robert Norramby is the Earl of Sodor and the owner of Stephen, Millie, Glynn and Ulfstead Castle.[citation needed] His official title is Earl, although he is popularly called ""The Duke of Sodor"". In The Railway Series, he succeeded to the title as a boy after his father was killed in the Second World War. In The Island of Sodor: Its People, History and Railways he is termed Richard Robert Norramby. He opened the loop line to Lakeside on the Skarloey Railway.[30] He returned to Sodor after traveling the world, to restore Ulfstead Castle and turn it into a visitor attraction.[citation needed]\n', 'Captain Joe is Skiff\'s present owner, and the lighthouse keeper at Arlesburgh Harbour, who made his debut in the season 20 episode ""Blown Away"". Following Sailor John\'s arrest, Captain Joe bought and now presently owns Skiff. In ""Blown Away"", he and Skiff once helped the residents of Arlesburgh to prepare for a storm.[citation needed]\n', ""Fergus Duncan (aka The Small Controller') is the controller of the 15-inch gauge Arlesdale Railway. He is taller than Sir Topham Hatt and Mr Percival.[citation needed]\n"", ""The Thin Clergyman writes books. He is modeled after Wilbert Awdry. He first appeared in Sodor's Legend of the Lost Treasure.[citation needed]\n"", 'The Fat Clergyman takes photographs. His first appearance was in season 20. He also appears in season 21 and is modeled after Edwin Boston.[citation needed]\n', 'Farmer Willie is a farmer (and tractor driver) who works on a farm, near the 15-inch gauge Arlesdale Railway.[citation needed]\n', 'Mr. Arkwright is an engine driver and a close assistant to The Fat Controller. Introduced in the 2009 video ""Team Up With Thomas,"" Arkwright presents live-action segments between the stories in which he instructs viewers to help him in a project, such as creating an engine out of cardboard boxes for The Fat Controller\'s grandchildren.[31][32] His office is located in the engine drivers\' locker room at Knapford Station. Displayed inside the office are portraits of The Fat Controller and the engines.[citation needed]\n', ""Mr. Gilbert Perkins (played by Ben Forster) is an engine driver who works on Sodor and is a good friend of Sir Topham Hatt. He has appeared in between stories on DVDs since 2010, showing the viewers how to make crafts like a cake that looks just like Thomas to dressing up to reading stories. In further appearances, he was shown reading Railway Series stories to the viewers and writing postcards in Mr Edwards' signal box. He hosted a version of Down at the Station titled Mr Perkins' Railway.[citation needed]\n""]"
417,François Boucher,François Boucher,/wiki/File:Boucher_par_Gustav_Lundberg_1741.jpg,"['François Boucher (UK: /ˈbuːʃeɪ/ BOO-shay, US: /buːˈʃeɪ/ boo-SHAY, French:\xa0[fʁɑ̃swa buʃe]; 29 September 1703\xa0– 30 May 1770) was a French painter, draughtsman and etcher, who worked in the Rococo style. Boucher is known for his idyllic and voluptuous paintings on classical themes, decorative allegories, and pastoral scenes. He was perhaps the most celebrated painter and decorative artist of the 18th century.\n']"
418,Willem van Leen,Willem van Leen,"/wiki/File:WLANL_-_Quistnix!_-_Visserijmuseum_-_Voorbereidingen_voor_de_verkoop_van_de_nieuwe_haring,_Adriaan_de_Lelie_en_Willem_van_Leen,_1815.jpg",['Willem van Leen (1753 – 1825) was a Dutch painter.\n']
419,Wootton James,Wootton James,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
420,Antonio Zucchi,Antonio Zucchi,/wiki/File:Angelica_Kaufmann_Antonio_Zucchi.jpg,"['Antonio Pietro Francesco Zucchi ARA (May 1, 1726 – December 1, 1795) was an Italian painter and printmaker of the Neoclassic period.[1] Born in Venice, he studied under his uncle Carlo Zucchi and later Francesco Fontebasso and Jacopo Amigoni.[2][3] He married the painter Angelica Kauffman in 1781, who late in life moved with him to Rome.[3] In Rome Zucchi produced a number of etchings of capriccio and veduta of classical buildings or ruins.[3] He worked with Robert Adam in the decoration of houses in England, including Kenwood, Newby Hall, Osterley Park, Nostell Priory, and Luton House.[3]\n']"
421,Spanish Painter,Spanish Painter,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
422,Pieter Coecke van Aelst,Pieter Coecke van Aelst,/wiki/File:Pieter_Coecke_van_Aelst.jpg,"[""Pieter Coecke van Aelst or Pieter Coecke van Aelst the Elder (Aalst, 14 August 1502 – Brussels, 6 December 1550) was a Flemish painter, sculptor, architect, author and designer of woodcuts, goldsmith's work, stained glass and tapestries.[1]  His principal subjects were Christian religious themes.  He worked in Antwerp and Brussels and was appointed court painter to Charles V, Holy Roman Emperor.\n""]"
423,Hanns Skolle,Hanns Skolle,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
424,Ben Shahn,Ben Shahn,/wiki/File:Ben_Shahn_artist.jpg,"['Ben Shahn (September 12, 1898 – March 14, 1969) was a Lithuanian-born American artist. He is best known for his works of social realism, his left-wing political views, and his series of lectures published as The Shape of Content.\n']"
