,Surname,First_name,Full_name,Birth_date,Death_date,Artist_id
405,British Painter,blank_,British Painter,Unknown,Unknown,405
406,Shaw Stephen William,blank_,Shaw Stephen William,1817      ,1900      ,406
407,Unidentified Artist,blank_,Unidentified Artist,Unknown,Unknown,407
408,Guan Liang,blank_,Guan Liang,1900      ,1986      ,408
409,Sōami,blank_,Sōami,Unknown,1525      ,409
410,Xu Gu,blank_,Xu Gu,1823      ,1896      ,410
411,Wu Changshuo,blank_,Wu Changshuo,1844      ,1927      ,411
412,Fan Zeng,blank_,Fan Zeng,1938      ,2038      ,412
413,Miki Suizan,blank_,Miki Suizan,1887      ,1957      ,413
414,Dalí,Salvador,Salvador Dalí,1904      ,1989      ,414
415,Giovanni da Udine,blank_,Giovanni da Udine,1487      ,1564      ,415
416,French Painter,blank_,French Painter,Unknown,Unknown,416
417,Boucher,François,François Boucher,1703      ,1770      ,417
418,Leen,Willem van,Willem van Leen,1753      ,1825      ,418
419,Wootton James,blank_,Wootton James,1686      ,1765      ,419
420,Zucchi,Antonio,Antonio Zucchi,1726      ,1796      ,420
421,Spanish Painter,blank_,Spanish Painter,Unknown,Unknown,421
422,Coecke van Aelst,Pieter,Pieter Coecke van Aelst,1502      ,1550      ,422
423,Skolle,Hanns,Hanns Skolle,1903      ,1988      ,423
424,Shahn,Ben,Ben Shahn,1898      ,1969      ,424
425,Evans,Walker,Walker Evans,1903      ,1975      ,425
426,Evans,Isabelle,Isabelle Evans,Unknown,Unknown,426
427,Rovner,Michal,Michal Rovner,1957      ,Unknown,427
428,Clough,Charles,Charles Clough,1951      ,1951      ,428
429,Bryyinyuwuy possibly,blank_,Bryyinyuwuy possibly,Unknown,Unknown,429
430,Gill Lunda Hoyle,blank_,Gill Lunda Hoyle,Unknown,Unknown,430
431,Kouakou,Ephrem,Ephrem Kouakou,1962      ,Unknown,431
432,Johnson,Malvin Gray,Malvin Gray Johnson,1896      ,1934      ,432
433,Anonymous,Czech,Czech Anonymous,1900      ,1950      ,433
434,Reynolds,Joshua,Joshua Reynolds,1723      ,1792      ,434
435,Tobey,Mark,Mark Tobey,1890      ,1976      ,435
436,Callahan,Kenneth,Kenneth Callahan,1905      ,1986      ,436
437,Amigoni,Jacopo,Jacopo Amigoni,1682      ,1752      ,437
438,Angelico,Fra,Fra Angelico,1395      ,1455      ,438
439,Strozzi,Zanobi,Zanobi Strozzi,1412      ,1468      ,439
440,Antonello da Messina,blank_,Antonello da Messina,1430      ,1479      ,440
441,Antonello de Saliba,blank_,Antonello de Saliba,1480      ,1535      ,441
442,Antoniazzo Romano,blank_,Antoniazzo Romano,1452      ,1512      ,442
443,Apt,Ulrich,Ulrich Apt,1460      ,1532      ,443
444,Arkhipov,Abram Efimovich,Abram Efimovich Arkhipov,1862      ,1930      ,444
445,Arthois,Jacques d',Jacques d' Arthois,1613      ,1686      ,445
446,Bachiacca,blank_,Bachiacca,1494      ,1557      ,446
447,Backer,Jacob,Jacob Backer,1608      ,1651      ,447
448,Bailly,David,David Bailly,1584      ,1657      ,448
449,Baixeras y Verdaguer,Dionisio,Dionisio Baixeras y Verdaguer,1862      ,1943      ,449
450,Baldung,Hans,Hans Baldung,1484      ,1545      ,450
451,Banci,Ercole,Ercole Banci,1500      ,1529      ,451
452,Bargue,Charles,Charles Bargue,1825      ,1883      ,452
453,Bartolomeo,Fra,Fra Bartolomeo,1473      ,1517      ,453
454,Bartolomeo degli Erri,blank_,Bartolomeo degli Erri,1460      ,1479      ,454
455,Bastien-Lepage,Jules,Jules Bastien-Lepage,1848      ,1884      ,455
456,Batoni,Pompeo,Pompeo Batoni,1708      ,1787      ,456
457,Bazille,Jean-Frédéric,Jean-Frédéric Bazille,1841      ,1870      ,457
458,Beaumont,Charles-Édouard de,Charles-Édouard de Beaumont,1821      ,1888      ,458
459,Beechey,William,William Beechey,1753      ,1839      ,459
460,Beerstraten,Johannes Abrahamsz,Johannes Abrahamsz Beerstraten,1622      ,1666      ,460
461,Beham,Barthel,Barthel Beham,1502      ,1540      ,461
462,Bellini,Giovanni,Giovanni Bellini,1459      ,1516      ,462
463,Bellini,Jacopo,Jacopo Bellini,1424      ,1470      ,463
464,Bellotto,Bernardo,Bernardo Bellotto,1722      ,1780      ,464
465,Benczúr,Gyula,Gyula Benczúr,1844      ,1920      ,465
466,Benjamin-Constant,blank_,Benjamin-Constant,1845      ,1902      ,466
467,Benoist,Marie Guillelmine,Marie Guillelmine Benoist,1768      ,1826      ,467
468,Benson,Ambrosius,Ambrosius Benson,1519      ,1550      ,468
469,Béraud,Jean,Jean Béraud,1849      ,1936      ,469
470,Berchem,Nicolaes,Nicolaes Berchem,1622      ,1683      ,470
471,Bergognone,blank_,Bergognone,1453      ,1523      ,471
472,Berlinghiero,blank_,Berlinghiero,1228      ,1236      ,472
473,Bernardino da Genoa,blank_,Bernardino da Genoa,1515      ,1515      ,473
474,Beyeren,Abraham van,Abraham van Beyeren,1620      ,1690      ,474
475,Biagio d'Antonio,blank_,Biagio d'Antonio,1472      ,1516      ,475
476,Bisschop,Cornelis,Cornelis Bisschop,1630      ,1674      ,476
477,Blake,William,William Blake,1757      ,1827      ,477
478,Blanchard,Jacques,Jacques Blanchard,1600      ,1638      ,478
479,Blarenberghe,Henri Joseph van,Henri Joseph van Blarenberghe,1750      ,1826      ,479
480,Bles,Herri met de,Herri met de Bles,1480      ,1550      ,480
481,Bloemaert,Abraham,Abraham Bloemaert,1566      ,1651      ,481
482,Boccaccino,Boccaccio,Boccaccio Boccaccino,1466      ,1525      ,482
483,Böcklin,Arnold,Arnold Böcklin,1827      ,1901      ,483
484,Boilly,Louis Léopold,Louis Léopold Boilly,1761      ,1845      ,484
485,Bol,Ferdinand,Ferdinand Bol,1616      ,1680      ,485
486,Boldini,Giovanni,Giovanni Boldini,1842      ,1931      ,486
487,Bonheur,Auguste-François,Auguste-François Bonheur,1824      ,1884      ,487
488,Bonheur,Rosa,Rosa Bonheur,1822      ,1899      ,488
489,Bonifacio de' Pitati,blank_,Bonifacio de' Pitati,1487      ,1553      ,489
490,Bonington,Richard Parkes,Richard Parkes Bonington,1802      ,1828      ,490
491,Bonnat,Léon,Léon Bonnat,1833      ,1922      ,491
492,Bor,Paulus,Paulus Bor,1601      ,1669      ,492
493,Borch,Gerard ter,Gerard ter Borch,1617      ,1681      ,493
494,Bordon,Paris,Paris Bordon,1500      ,1571      ,494
495,Borssom,Anthonie van,Anthonie van Borssom,1631      ,1677      ,495
496,Bosch,Hieronymus,Hieronymus Bosch,1450      ,1516      ,496
497,Bottani,Giuseppe,Giuseppe Bottani,1717      ,1784      ,497
498,Botticelli,blank_,Botticelli,1444      ,1510      ,498
499,Botticini,Francesco,Francesco Botticini,1446      ,1497      ,499
500,Boudin,Eugène,Eugène Boudin,1824      ,1898      ,500
501,Bouguereau,William,William Bouguereau,1825      ,1905      ,501
502,Bourdon,Sébastien,Sébastien Bourdon,1616      ,1671      ,502
503,Bouts,Aelbert,Aelbert Bouts,1451      ,1549      ,503
504,Bouts,Dieric,Dieric Bouts,1457      ,1475      ,504
505,Traut,Hans,Hans Traut,1477      ,1516      ,505
506,Bramantino,blank_,Bramantino,1460      ,1530      ,506
507,Bramer,Leonaert,Leonaert Bramer,1596      ,1674      ,507
508,Breenbergh,Bartholomeus,Bartholomeus Breenbergh,1598      ,1657      ,508
509,Brekelenkam,Quirijn van,Quirijn van Brekelenkam,1622      ,1669      ,509
510,Breton,Jules,Jules Breton,1827      ,1906      ,510
511,Brett,John,John Brett,1831      ,1902      ,511
512,Breu,Jörg,Jörg Breu,1510      ,1547      ,512
513,Bronzino,blank_,Bronzino,1503      ,1572      ,513
514,Brosamer,Hans,Hans Brosamer,1536      ,1552      ,514
515,Brouwer,Adriaen,Adriaen Brouwer,1605      ,1638      ,515
516,Bruegel,Pieter,Pieter Bruegel,1525      ,1569      ,516
517,Brueghel,Jan,Jan Brueghel,1568      ,1625      ,517
518,Brueghel,Jan,Jan Brueghel,1601      ,1678      ,518
519,Brugghen,Hendrick ter,Hendrick ter Brugghen,1588      ,1629      ,519
520,Bruyn,Barthel,Barthel Bruyn,1493      ,1555      ,520
521,Bruyn,Barthel,Barthel Bruyn,1530      ,1610      ,521
522,Budapest Master,blank_,Budapest Master,1500      ,1500      ,522
523,Bugiardini,Giuliano di Piero di Simone,Giuliano di Piero di Simone Bugiardini,1475      ,1554      ,523
524,Burne-Jones,Edward,Edward Burne-Jones,1833      ,1898      ,524
525,Cabanel,Alexandre,Alexandre Cabanel,1823      ,1889      ,525
526,Cairo,Francesco,Francesco Cairo,1607      ,1665      ,526
527,Campi,Bernardino,Bernardino Campi,1522      ,1591      ,527
528,Campin,Robert,Robert Campin,1375      ,1444      ,528
529,Canaletto,blank_,Canaletto,1697      ,1768      ,529
530,Cappelle,Jan van de,Jan van de Cappelle,1626      ,1679      ,530
531,Caravaggio,blank_,Caravaggio,1571      ,1610      ,531
532,Carlos,Frei,Frei Carlos,1525      ,1549      ,532
533,Carnevale,Fra,Fra Carnevale,1416      ,1484      ,533
534,Carolus-Duran,Charles-Auguste-Émile Durant,Charles-Auguste-Émile Durant Carolus-Duran,1837      ,1917      ,534
535,Carpaccio,Vittore,Vittore Carpaccio,1460      ,1526      ,535
536,Carracci,Annibale,Annibale Carracci,1560      ,1609      ,536
537,Carrière,Eugène,Eugène Carrière,1849      ,1906      ,537
538,Aligny,Théodore Caruelle d',Théodore Caruelle d' Aligny,1798      ,1871      ,538
539,Casanova,Francesco,Francesco Casanova,1727      ,1803      ,539
540,Catena,blank_,Catena,1506      ,1531      ,540
541,Cavallino,Bernardo,Bernardo Cavallino,1616      ,1656      ,541
542,Cazin,Jean-Charles,Jean-Charles Cazin,1841      ,1901      ,542
543,Cenni di Francesco di Ser Cenni,blank_,Cenni di Francesco di Ser Cenni,1369      ,1415      ,543
544,Ceruti,Giacomo,Giacomo Ceruti,1698      ,1767      ,544
545,Cesari,Bernardino,Bernardino Cesari,1614      ,1614      ,545
546,Cézanne,Paul,Paul Cézanne,1839      ,1906      ,546
547,Champaigne,Philippe de,Philippe de Champaigne,1602      ,1674      ,547
548,Chardin,Jean Siméon,Jean Siméon Chardin,1699      ,1779      ,548
549,Chiari,Giuseppe Bartolomeo,Giuseppe Bartolomeo Chiari,1654      ,1727      ,549
550,Christus,Petrus,Petrus Christus,1444      ,1476      ,550
551,Cigoli,blank_,Cigoli,1559      ,1613      ,551
552,Cima da Conegliano,blank_,Cima da Conegliano,1459      ,1518      ,552
553,Claesz,Pieter,Pieter Claesz,1596      ,1660      ,553
554,Claude Lorrain,blank_,Claude Lorrain,1604      ,1682      ,554
555,Clouet,François,François Clouet,1536      ,1572      ,555
556,Clouet,Jean,Jean Clouet,1516      ,1541      ,556
557,Coffermans,Marcellus,Marcellus Coffermans,1549      ,1570      ,557
558,Collier,Edwaert,Edwaert Collier,1640      ,1707      ,558
559,Constable,John,John Constable,1776      ,1837      ,559
560,Conti,Bernardino dei,Bernardino dei Conti,1496      ,1522      ,560
561,Corneille de Lyon,blank_,Corneille de Lyon,1533      ,1575      ,561
562,Corot,Camille,Camille Corot,1796      ,1875      ,562
563,Correggio,blank_,Correggio,1514      ,1534      ,563
564,Cosway,Richard,Richard Cosway,1742      ,1821      ,564
565,Cot,Pierre-Auguste,Pierre-Auguste Cot,1837      ,1883      ,565
566,Cotes,Francis,Francis Cotes,1726      ,1770      ,566
567,Courbet,Gustave,Gustave Courbet,1819      ,1877      ,567
568,Couture,Thomas,Thomas Couture,1815      ,1879      ,568
569,Cranach,Lucas,Lucas Cranach,1472      ,1553      ,569
570,Cranach,Lucas,Lucas Cranach,1515      ,1586      ,570
571,Crayer,Gaspar de,Gaspar de Crayer,1584      ,1669      ,571
572,Crivelli,Carlo,Carlo Crivelli,1457      ,1495      ,572
573,Crivelli,Vittore,Vittore Crivelli,1465      ,1502      ,573
574,Crome,John,John Crome,1768      ,1821      ,574
575,Cuylenborch,Abraham van,Abraham van Cuylenborch,1620      ,1658      ,575
576,Cuyp,Aelbert,Aelbert Cuyp,1620      ,1691      ,576
577,Daddi,Bernardo,Bernardo Daddi,1290      ,1348      ,577
578,Dagnan-Bouveret,Pascal-Adolphe-Jean,Pascal-Adolphe-Jean Dagnan-Bouveret,1852      ,1929      ,578
579,Dahl,Michael,Michael Dahl,1659      ,1743      ,579
580,Dandini,Cesare,Cesare Dandini,1596      ,1657      ,580
581,Dandridge,Bartholomew,Bartholomew Dandridge,1691      ,1754      ,581
582,Daubigny,Charles-François,Charles-François Daubigny,1817      ,1878      ,582
583,Daumier,Honoré,Honoré Daumier,1808      ,1879      ,583
584,David,Gerard,Gerard David,1455      ,1523      ,584
585,Bening,Simon,Simon Bening,1483      ,1561      ,585
586,David,Jacques Louis,Jacques Louis David,1748      ,1825      ,586
587,Decamps,Alexandre-Gabriel,Alexandre-Gabriel Decamps,1803      ,1860      ,587
588,Defrance,Léonard,Léonard Defrance,1735      ,1805      ,588
589,Degas,Edgar,Edgar Degas,1834      ,1917      ,589
590,Delacroix,Eugène,Eugène Delacroix,1798      ,1863      ,590
591,Déruet,Claude,Claude Déruet,1583      ,1660      ,591
592,Desgoffe,Blaise-Alexandre,Blaise-Alexandre Desgoffe,1830      ,1901      ,592
593,Desportes,Alexandre François,Alexandre François Desportes,1661      ,1743      ,593
594,Detaille,Édouard,Édouard Detaille,1848      ,1912      ,594
595,Devéria,Eugène,Eugène Devéria,1805      ,1865      ,595
596,Diaz de la Peña,Narcisse-Virgile,Narcisse-Virgile Diaz de la Peña,1808      ,1876      ,596
597,Diepenbeeck,Abraham van,Abraham van Diepenbeeck,1596      ,1675      ,597
598,Dietrich,Christian Wilhelm Ernst,Christian Wilhelm Ernst Dietrich,1712      ,1774      ,598
599,Domenichino,blank_,Domenichino,1581      ,1641      ,599
600,Domingo y Marqués,Francisco,Francisco Domingo y Marqués,1842      ,1920      ,600
601,Doré,Gustave,Gustave Doré,1832      ,1883      ,601
602,Dossi,Dosso,Dosso Dossi,1486      ,1542      ,602
603,Dou,Gerrit,Gerrit Dou,1613      ,1675      ,603
604,Drost,Willem,Willem Drost,1633      ,1659      ,604
605,Drouais,François Hubert,François Hubert Drouais,1727      ,1775      ,605
606,Duck,Jacob,Jacob Duck,1598      ,1667      ,606
607,Ducreux,Rose Adélaïde,Rose Adélaïde Ducreux,1761      ,1802      ,607
608,Dudley,Robert Charles,Robert Charles Dudley,1826      ,1909      ,608
609,Dughet,Gaspard,Gaspard Dughet,1615      ,1675      ,609
610,Dumesnil,Pierre Louis,Pierre Louis Dumesnil,1698      ,1781      ,610
611,Duplessis,Joseph Siffred,Joseph Siffred Duplessis,1725      ,1802      ,611
612,Dupont,Gainsborough,Gainsborough Dupont,1754      ,1797      ,612
613,Dupont,Richard Gainsborough,Richard Gainsborough Dupont,1789      ,1874      ,613
614,Dupré,Jules,Jules Dupré,1811      ,1889      ,614
615,Dürer,Albrecht,Albrecht Dürer,1471      ,1528      ,615
616,German Painter,blank_,German Painter,Unknown,Unknown,616
617,Dutch Painter,blank_,Dutch Painter,Unknown,Unknown,617
618,Dyck,Anthony van,Anthony van Dyck,1599      ,1641      ,618
619,Eeckhout,Gerbrand van den,Gerbrand van den Eeckhout,1621      ,1674      ,619
620,Eisen,Charles Dominique Joseph,Charles Dominique Joseph Eisen,1720      ,1778      ,620
621,Ekels,Jan,Jan Ekels,1759      ,1793      ,621
622,Engebrechtsz,Cornelis,Cornelis Engebrechtsz,1461      ,1527      ,622
623,Etty,William,William Etty,1787      ,1849      ,623
624,European Painter,blank_,European Painter,Unknown,Unknown,624
625,Netherlandish Painter,blank_,Netherlandish Painter,Unknown,Unknown,625
626,Faber von Creuznach,Conrad,Conrad Faber von Creuznach,1524      ,1553      ,626
627,Fabritius,Barent,Barent Fabritius,1624      ,1673      ,627
628,Faes,Peter,Peter Faes,1750      ,1814      ,628
629,Fantin-Latour,Henri,Henri Fantin-Latour,1836      ,1904      ,629
630,Ferrari,Defendente,Defendente Ferrari,1510      ,1531      ,630
631,Fetti,Domenico,Domenico Fetti,1591      ,1623      ,631
632,Flegel,Georg,Georg Flegel,1566      ,1638      ,632
633,Flinck,Govert,Govert Flinck,1615      ,1660      ,633
634,Fontana,Lavinia,Lavinia Fontana,1552      ,1614      ,634
635,Foppa,Vincenzo,Vincenzo Foppa,1456      ,1516      ,635
636,Forain,Jean-Louis,Jean-Louis Forain,1852      ,1931      ,636
637,Fortuny Marsal,Mariano,Mariano Fortuny Marsal,1838      ,1874      ,637
638,Fragonard,Jean Honoré,Jean Honoré Fragonard,1732      ,1806      ,638
639,Français,François-Louis,François-Louis Français,1814      ,1897      ,639
640,Francesco di Giorgio Martini,blank_,Francesco di Giorgio Martini,1439      ,1501      ,640
641,Francia,Francesco,Francesco Francia,1447      ,1517      ,641
642,Italian,blank_,Italian,1400      ,1499      ,642
643,Rivalz,Antoine,Antoine Rivalz,1667      ,1735      ,643
644,Le Motte,Jean François de,Jean François de Le Motte,1635      ,1685      ,644
645,French,blank_,French,Unknown,Unknown,645
646,Northern French Painter,blank_,Northern French Painter,Unknown,Unknown,646
647,Spanish,blank_,Spanish,Unknown,Unknown,647
648,Frère,Charles-Théodore,Charles-Théodore Frère,1814      ,1888      ,648
649,Fromentin,Eugène,Eugène Fromentin,1820      ,1876      ,649
650,Fungai,Bernardino,Bernardino Fungai,1460      ,1516      ,650
651,Fuseli,Henry,Henry Fuseli,1741      ,1825      ,651
652,Fyt,Jan,Jan Fyt,1611      ,1661      ,652
653,Gaddi,Agnolo,Agnolo Gaddi,1369      ,1396      ,653
654,Gainsborough,Thomas,Thomas Gainsborough,1727      ,1788      ,654
655,Gatti,Saturnino,Saturnino Gatti,1463      ,1518      ,655
656,Gauguin,Paul,Paul Gauguin,1848      ,1903      ,656
657,Gentile da Fabriano,blank_,Gentile da Fabriano,1408      ,1427      ,657
658,Gentileschi,Artemisia,Artemisia Gentileschi,1593      ,1653      ,658
659,Gericault,Théodore,Théodore Gericault,1791      ,1824      ,659
660,Gerini,Niccolò di Pietro,Niccolò di Pietro Gerini,1368      ,1415      ,660
661,Italian Painter,blank_,Italian Painter,Unknown,Unknown,661
662,German,blank_,German,Unknown,Unknown,662
663,Gérôme,Jean-Léon,Jean-Léon Gérôme,1824      ,1904      ,663
664,Gheyn,Jacques de,Jacques de Gheyn,1565      ,1629      ,664
665,Ghirlandaio,Domenico,Domenico Ghirlandaio,1448      ,1494      ,665
666,Ghirlandaio,Davide,Davide Ghirlandaio,1452      ,1525      ,666
667,Ghissi,Francescuccio,Francescuccio Ghissi,1359      ,1374      ,667
668,Giambono,Michele,Michele Giambono,1420      ,1462      ,668
669,Giampietrino,blank_,Giampietrino,1495      ,1553      ,669
670,Giordano,Luca,Luca Giordano,1634      ,1705      ,670
671,Giotto di Bondone,blank_,Giotto di Bondone,1266      ,1337      ,671
672,Giovanni di Paolo,blank_,Giovanni di Paolo,1398      ,1482      ,672
673,Glaize,Pierre-Paul-Léon,Pierre-Paul-Léon Glaize,1842      ,1932      ,673
674,Gobert,Pierre,Pierre Gobert,1662      ,1744      ,674
675,Goes,Hugo van der,Hugo van der Goes,1467      ,1482      ,675
676,Gogh,Vincent van,Vincent van Gogh,1853      ,1890      ,676
677,Gossart,Jan,Jan Gossart,1478      ,1532      ,677
678,Goya,blank_,Goya,1746      ,1828      ,678
679,Goyen,Jan van,Jan van Goyen,1596      ,1656      ,679
680,Gozzoli,Benozzo,Benozzo Gozzoli,1420      ,1497      ,680
681,Granacci,Francesco,Francesco Granacci,1469      ,1543      ,681
682,Granet,François Marius,François Marius Granet,1775      ,1849      ,682
683,Greco,El,El Greco,1540      ,1614      ,683
684,Unknown,blank_,Unknown,1540      ,1614      ,684
685,Greco El,blank_,Greco El,1540      ,1614      ,685
686,Greuze,Jean-Baptiste,Jean-Baptiste Greuze,1725      ,1805      ,686
687,Grooth,Georg Christoph,Georg Christoph Grooth,1716      ,1749      ,687
688,Grooth,Johann Nikolaus,Johann Nikolaus Grooth,1723      ,1797      ,688
689,Guardi,Francesco,Francesco Guardi,1712      ,1793      ,689
690,Guariento di Arpo,blank_,Guariento di Arpo,1338      ,1370      ,690
691,Guercino,blank_,Guercino,1591      ,1666      ,691
692,Guidobono,Domenico,Domenico Guidobono,1668      ,1746      ,692
693,Habermann,Hugo von,Hugo von Habermann,1849      ,1929      ,693
694,Hals,Dirck,Dirck Hals,1591      ,1656      ,694
695,Hals,Frans,Frans Hals,1582      ,1666      ,695
696,Hanneman,Adriaen,Adriaen Hanneman,1603      ,1671      ,696
697,Harlow,George Henry,George Henry Harlow,1787      ,1819      ,697
698,Harpignies,Henri-Joseph,Henri-Joseph Harpignies,1819      ,1916      ,698
699,Haverman,Margareta,Margareta Haverman,1716      ,1722      ,699
700,Heem,Jan Davidsz de,Jan Davidsz de Heem,1606      ,1684      ,700
701,Heemskerck,Maarten van,Maarten van Heemskerck,1498      ,1574      ,701
702,Helst,Bartholomeus van der,Bartholomeus van der Helst,1612      ,1670      ,702
703,Hemessen,Jan Sanders van,Jan Sanders van Hemessen,1524      ,1564      ,703
704,Henner,Jean-Jacques,Jean-Jacques Henner,1829      ,1905      ,704
705,Heyden,Jan van der,Jan van der Heyden,1637      ,1712      ,705
706,Hobbema,Meyndert,Meyndert Hobbema,1638      ,1709      ,706
707,Hogarth,William,William Hogarth,1697      ,1764      ,707
708,Holbein,Hans,Hans Holbein,1497      ,1543      ,708
709,Hondecoeter,Melchior d',Melchior d' Hondecoeter,1636      ,1695      ,709
710,Hondius,Abraham,Abraham Hondius,1631      ,1691      ,710
711,Hooch,Pieter de,Pieter de Hooch,1629      ,1684      ,711
712,Hoogstraten,Samuel van,Samuel van Hoogstraten,1627      ,1678      ,712
713,Hoppner,John,John Hoppner,1758      ,1810      ,713
714,Horemans,Peter Jacob,Peter Jacob Horemans,1700      ,1776      ,714
715,Hulsdonck,Jacob van,Jacob van Hulsdonck,1582      ,1647      ,715
716,Humbert,Ferdinand,Ferdinand Humbert,1842      ,1934      ,716
717,Huys,Pieter,Pieter Huys,1545      ,1584      ,717
718,Ingres,Jean Auguste Dominique,Jean Auguste Dominique Ingres,1780      ,1867      ,718
719,Héquet,Gustave,Gustave Héquet,1845      ,1865      ,719
720,Isenbrant,Adriaen,Adriaen Isenbrant,1510      ,1551      ,720
721,Israëls,Jozef,Jozef Israëls,1824      ,1911      ,721
722,Italian,blank_,Italian,Unknown,Unknown,722
723,Master of the Magdalen,blank_,Master of the Magdalen,1265      ,1295      ,723
724,North Italian Painter,blank_,North Italian Painter,Unknown,Unknown,724
725,Brueghel,Abraham,Abraham Brueghel,1631      ,1697      ,725
726,Jacometto,blank_,Jacometto,1472      ,1498      ,726
727,Jacopino del Conte,blank_,Jacopino del Conte,1515      ,1598      ,727
728,Daniele da Volterra,blank_,Daniele da Volterra,1509      ,1566      ,728
729,Jacque,Charles,Charles Jacque,1813      ,1894      ,729
730,Janssen van Nuyssen,Abraham,Abraham Janssen van Nuyssen,1575      ,1632      ,730
731,Jénot,Paulin,Paulin Jénot,1886      ,1930      ,731
732,Joest of Kalkar,Jan,Jan Joest of Kalkar,1510      ,1520      ,732
733,Joli,Antonio,Antonio Joli,1700      ,1777      ,733
734,Jongh,Ludolf de,Ludolf de Jongh,1616      ,1679      ,734
735,Jongkind,Johan Barthold,Johan Barthold Jongkind,1819      ,1891      ,735
736,Jonson van Ceulen,Cornelis,Cornelis Jonson van Ceulen,1593      ,1661      ,736
737,Jonson van Ceulen,Cornelis,Cornelis Jonson van Ceulen,1634      ,1715      ,737
738,Joos van Cleve,blank_,Joos van Cleve,1485      ,1541      ,738
739,Jordaens,Jacob,Jacob Jordaens,1593      ,1678      ,739
740,Juan de Flandes,blank_,Juan de Flandes,1496      ,1519      ,740
741,Justus of Ghent,blank_,Justus of Ghent,1460      ,1480      ,741
742,Kalf,Willem,Willem Kalf,1619      ,1693      ,742
743,Kaulbach,Friedrich August von,Friedrich August von Kaulbach,1850      ,1920      ,743
744,Kaulbach,Wilhelm von,Wilhelm von Kaulbach,1804      ,1874      ,744
745,Keil,Bernhard,Bernhard Keil,1624      ,1687      ,745
746,Keuninck,Kerstiaen de,Kerstiaen de Keuninck,1560      ,1633      ,746
747,Keyser,Thomas de,Thomas de Keyser,1596      ,1667      ,747
748,Klimt,Gustav,Gustav Klimt,1862      ,1918      ,748
749,Frye,Thomas,Thomas Frye,1711      ,1762      ,749
750,Købke,Christen,Christen Købke,1810      ,1848      ,750
751,Koekkoek,Barend Cornelis,Barend Cornelis Koekkoek,1803      ,1862      ,751
752,Koller,Guillaume,Guillaume Koller,1829      ,1884      ,752
753,Koninck,Philips,Philips Koninck,1619      ,1688      ,753
754,Kuindzhi,Arkhip Ivanovich,Arkhip Ivanovich Kuindzhi,1842      ,1910      ,754
755,Kulmbach,Hans Süss von,Hans Süss von Kulmbach,1480      ,1522      ,755
756,La Hyre,Laurent de,Laurent de La Hyre,1606      ,1656      ,756
757,La Tour,Georges de,Georges de La Tour,1593      ,1653      ,757
758,Labille-Guiard,Adélaïde,Adélaïde Labille-Guiard,1749      ,1803      ,758
759,Lairesse,Gerard de,Gerard de Lairesse,1641      ,1711      ,759
760,Landseer,Edwin Henry,Edwin Henry Landseer,1802      ,1873      ,760
761,Largillierre,Nicolas de,Nicolas de Largillierre,1656      ,1746      ,761
762,Lavieille,Eugène,Eugène Lavieille,1820      ,1889      ,762
763,Lawrence,Thomas,Thomas Lawrence,1769      ,1830      ,763
764,Le Sueur,Eustache,Eustache Le Sueur,1616      ,1655      ,764
765,Altomonte,Andreas,Andreas Altomonte,1699      ,1780      ,765
766,Lee,Frederick Richard,Frederick Richard Lee,1798      ,1879      ,766
767,Lefebvre,Jules-Joseph,Jules-Joseph Lefebvre,1836      ,1912      ,767
768,Leibl,Wilhelm,Wilhelm Leibl,1844      ,1900      ,768
769,Leighton,Frederic,Frederic Leighton,1830      ,1896      ,769
770,Leloir,Alexandre-Louis,Alexandre-Louis Leloir,1843      ,1884      ,770
771,Lely,Peter,Peter Lely,1618      ,1680      ,771
772,Lemoine,Marie Victoire,Marie Victoire Lemoine,1754      ,1820      ,772
773,Lenbach,Franz von,Franz von Lenbach,1836      ,1904      ,773
774,León y Escosura,Ignacio de,Ignacio de León y Escosura,1834      ,1901      ,774
775,Lerolle,Henry,Henry Lerolle,1848      ,1929      ,775
776,Lhermitte,Léon-Augustin,Léon-Augustin Lhermitte,1844      ,1925      ,776
777,Liebermann,Max,Max Liebermann,1847      ,1935      ,777
778,Ligozzi,Jacopo,Jacopo Ligozzi,1547      ,1627      ,778
779,Lingelbach,Johannes,Johannes Lingelbach,1622      ,1674      ,779
780,Lione,Andrea di,Andrea di Lione,1610      ,1685      ,780
781,Lippi,Filippino,Filippino Lippi,1457      ,1504      ,781
782,Lippi,Fra Filippo,Fra Filippo Lippi,1406      ,1469      ,782
783,Longhi,Pietro,Pietro Longhi,1701      ,1785      ,783
784,Lorenzetti,Ambrogio,Ambrogio Lorenzetti,1319      ,1347      ,784
785,Lorenzetti,Pietro,Pietro Lorenzetti,1320      ,1344      ,785
786,Lorenzo di Credi,blank_,Lorenzo di Credi,1456      ,1536      ,786
787,Lorenzo Monaco,blank_,Lorenzo Monaco,1370      ,1425      ,787
788,Lotto,Lorenzo,Lorenzo Lotto,1475      ,1556      ,788
789,Luca di Tommè di Nuto,blank_,Luca di Tommè di Nuto,1356      ,1389      ,789
790,Leyden,Lucas van,Lucas van Leyden,1494      ,1533      ,790
791,Luce,Maximilien,Maximilien Luce,1858      ,1941      ,791
792,Madrazo y de Ochoa,Federico de,Federico de Madrazo y de Ochoa,1875      ,1934      ,792
